datasource_name,chain_id,contract_address,contract_pair_id,datasource_pair_id,base,quote
bitmart,50,0x4Ef427Fb5dD965107b4A2Bd23da7e4F056141A03,ARB/USDT,ARB_USDT,ARB,USDT
bitrue,50,0x4Ef427Fb5dD965107b4A2Bd23da7e4F056141A03,ARB/USDT,ARBUSDT,ARB,USDT
coinmarketcap,50,0x4Ef427Fb5dD965107b4A2Bd23da7e4F056141A03,ARB/USDT,,ARB,USDT
cryptocompare,50,0x4Ef427Fb5dD965107b4A2Bd23da7e4F056141A03,ARB/USDT,,ARB,USDT
lbank,50,0x4Ef427Fb5dD965107b4A2Bd23da7e4F056141A03,ARB/USDT,arb_usdt,ARB,USDT
bitmart,50,0x0F0367D51C5fFF8e556528696e5C80ACC961E73C,BNB/USDT,BNB_USDT,BNB,USDT
bitrue,50,0x0F0367D51C5fFF8e556528696e5C80ACC961E73C,BNB/USDT,BNBUSDT,BNB,USDT
coinmarketcap,50,0x0F0367D51C5fFF8e556528696e5C80ACC961E73C,BNB/USDT,,BNB,USDT
cryptocompare,50,0x0F0367D51C5fFF8e556528696e5C80ACC961E73C,BNB/USDT,,BNB,USDT
lbank,50,0x0F0367D51C5fFF8e556528696e5C80ACC961E73C,BNB/USDT,bnb_usdt,BNB,USDT
bitmart,50,0x61588842DD47B09A7c44291f0E1484C4388d5998,BTC/USDT,BTC_USDT,BTC,USDT
bitrue,50,0x61588842DD47B09A7c44291f0E1484C4388d5998,BTC/USDT,BTCUSDT,BTC,USDT
coinmarketcap,50,0x61588842DD47B09A7c44291f0E1484C4388d5998,BTC/USDT,,BTC,USDT
cryptocompare,50,0x61588842DD47B09A7c44291f0E1484C4388d5998,BTC/USDT,,BTC,USDT
lbank,50,0x61588842DD47B09A7c44291f0E1484C4388d5998,BTC/USDT,btc_usdt,BTC,USDT
bitmart,50,0x124Ed1d4E3b8f5Bc8d757f27db615fD6D4E2f284,CGO/USDT,CGO_USDT,CGO,USDT
bitrue,50,0x124Ed1d4E3b8f5Bc8d757f27db615fD6D4E2f284,CGO/USDT,CGOUSDT,CGO,USDT
coinmarketcap,50,0x124Ed1d4E3b8f5Bc8d757f27db615fD6D4E2f284,CGO/USDT,,CGO,USDT
cryptocompare,50,0x124Ed1d4E3b8f5Bc8d757f27db615fD6D4E2f284,CGO/USDT,,CGO,USDT
lbank,50,0x124Ed1d4E3b8f5Bc8d757f27db615fD6D4E2f284,CGO/USDT,cgo_usdt,CGO,USDT
bitmart,50,0x6Fb5E127F59f49c848CC204A9a9a575CA52C1cD3,ETH/USDT,ETH_USDT,ETH,USDT
bitrue,50,0x6Fb5E127F59f49c848CC204A9a9a575CA52C1cD3,ETH/USDT,ETHUSDT,ETH,USDT
coinmarketcap,50,0x6Fb5E127F59f49c848CC204A9a9a575CA52C1cD3,ETH/USDT,,ETH,USDT
cryptocompare,50,0x6Fb5E127F59f49c848CC204A9a9a575CA52C1cD3,ETH/USDT,,ETH,USDT
lbank,50,0x6Fb5E127F59f49c848CC204A9a9a575CA52C1cD3,ETH/USDT,eth_usdt,ETH,USDT
bitmart,50,0x499b32df5dA30F5c531180AaDC7A32e208d86E7D,PLI/USDT,PLI_USDT,PLI,USDT
bitrue,50,0x499b32df5dA30F5c531180AaDC7A32e208d86E7D,PLI/USDT,PLIUSDT,PLI,USDT
coinmarketcap,50,0x499b32df5dA30F5c531180AaDC7A32e208d86E7D,PLI/USDT,,PLI,USDT
cryptocompare,50,0x499b32df5dA30F5c531180AaDC7A32e208d86E7D,PLI/USDT,,PLI,USDT
lbank,50,0x499b32df5dA30F5c531180AaDC7A32e208d86E7D,PLI/USDT,pli_usdt,PLI,USDT
bitmart,50,0x3A5C5Cb8959d2026B7a711772027D00a26BEf574,POL/USDT,POL_USDT,POL,USDT
bitrue,50,0x3A5C5Cb8959d2026B7a711772027D00a26BEf574,POL/USDT,POLUSDT,POL,USDT
coinmarketcap,50,0x3A5C5Cb8959d2026B7a711772027D00a26BEf574,POL/USDT,,POL,USDT
cryptocompare,50,0x3A5C5Cb8959d2026B7a711772027D00a26BEf574,POL/USDT,,POL,USDT
lbank,50,0x3A5C5Cb8959d2026B7a711772027D00a26BEf574,POL/USDT,pol_usdt,POL,USDT
bitmart,50,0x1a1484F5522C706497c29B61a924DfcEfDBc4109,SOL/USDT,SOL_USDT,SOL,USDT
bitrue,50,0x1a1484F5522C706497c29B61a924DfcEfDBc4109,SOL/USDT,SOLUSDT,SOL,USDT
coinmarketcap,50,0x1a1484F5522C706497c29B61a924DfcEfDBc4109,SOL/USDT,,SOL,USDT
cryptocompare,50,0x1a1484F5522C706497c29B61a924DfcEfDBc4109,SOL/USDT,,SOL,USDT
lbank,50,0x1a1484F5522C706497c29B61a924DfcEfDBc4109,SOL/USDT,sol_usdt,SOL,USDT
bitmart,50,0x7C1E05d37894A090E3f6277775C740bd4DbCBFAf,UNI/USDT,UNI_USDT,UNI,USDT
bitrue,50,0x7C1E05d37894A090E3f6277775C740bd4DbCBFAf,UNI/USDT,UNIUSDT,UNI,USDT
coinmarketcap,50,0x7C1E05d37894A090E3f6277775C740bd4DbCBFAf,UNI/USDT,,UNI,USDT
cryptocompare,50,0x7C1E05d37894A090E3f6277775C740bd4DbCBFAf,UNI/USDT,,UNI,USDT
lbank,50,0x7C1E05d37894A090E3f6277775C740bd4DbCBFAf,UNI/USDT,uni_usdt,UNI,USDT
bitmart,50,0x367fbb72B5123d14Ff4C749B21A01509FC4C6703,XDC/USDT,XDC_USDT,XDC,USDT
bitrue,50,0x367fbb72B5123d14Ff4C749B21A01509FC4C6703,XDC/USDT,XDCUSDT,XDC,USDT
coinmarketcap,50,0x367fbb72B5123d14Ff4C749B21A01509FC4C6703,XDC/USDT,,XDC,USDT
cryptocompare,50,0x367fbb72B5123d14Ff4C749B21A01509FC4C6703,XDC/USDT,,XDC,USDT
